id,alcohol,fixed_acidity,residual_sugar,quality,density
0,13.6,9.3,6.4,high,1.0005
1,14.0,11.2,2.0,medium,0.9912
2,8.2,11.6,0.9,low,0.9935
3,12.7,12.9,6.6,low,1.0002
4,10.4,13.9,13.8,medium,0.9942
5,10.5,12.5,0.7,low,0.9933
6,13.1,4.3,9.0,high,0.9909
7,12.9,15.0,1.7,high,0.9917
8,13.2,12.3,6.6,medium,0.9936
9,9.9,12.2,14.4,medium,1.0021
10,10.5,15.5,13.0,high,0.9952
11,8.2,8.8,4.3,medium,0.9967
12,11.5,8.3,9.1,high,0.99
13,,4.8,11.8,medium,1.0048
14,10.9,5.7,2.0,medium,0.9955
15,13.1,9.7,1.1,medium,0.9932
16,8.5,13.8,7.1,low,1.0017
17,8.4,7.8,4.3,medium,1.0007
18,,7.0,4.0,medium,0.9911
19,12.3,15.6,4.2,high,1.0019
20,8.7,9.8,4.1,low,0.9968
21,13.8,11.4,14.0,low,0.9989
22,10.4,8.7,3.0,low,1.0047
23,13.0,7.1,6.2,high,1.0007
24,13.4,11.9,2.4,low,0.9942
25,10.8,6.3,10.2,high,0.9959
26,11.1,12.9,6.3,high,0.9974
27,13.5,10.5,13.7,medium,1.0029
28,,10.3,11.2,medium,0.9942
29,12.9,11.7,13.2,low,1.0041
30,8.6,4.7,7.4,low,0.9957
31,10.2,5.6,10.7,high,1.0011
32,9.0,10.5,12.5,high,0.9974
33,12.9,12.5,0.6,medium,1.004
34,13.4,10.8,3.9,medium,1.0047
35,8.1,11.3,5.9,medium,0.9923
36,9.2,9.4,0.7,low,0.9957
37,8.9,12.0,14.3,high,0.9945
38,12.8,6.2,5.0,high,1.0006
39,13.7,4.0,11.8,high,0.9918
40,9.3,11.7,11.8,medium,0.9907
41,9.5,11.9,0.6,low,0.9927
42,9.5,6.6,2.3,low,0.9978
43,8.3,6.9,1.0,medium,0.997
44,11.8,5.0,12.4,low,0.9981
45,8.3,8.6,11.3,low,0.9907
46,11.1,7.5,14.4,medium,0.995
47,8.2,5.2,7.6,high,1.0008
48,10.8,11.7,7.0,high,0.9938
49,12.8,13.8,5.8,medium,0.9948
50,11.9,11.6,4.6,medium,1.0017
51,13.6,6.6,12.9,low,1.0011
52,8.1,10.5,7.3,low,0.9918
53,13.6,5.0,5.8,high,0.9963
54,10.0,13.5,13.7,high,0.9957
55,9.4,13.6,13.4,high,0.9912
56,9.3,5.0,14.7,low,0.9949
57,13.5,4.6,2.8,high,1.0039
58,13.7,8.7,9.5,medium,1.002
59,13.4,10.3,5.8,high,0.999
60,10.1,5.6,10.6,medium,0.9994
61,12.6,10.7,0.8,high,0.997
62,9.2,9.3,1.7,low,0.994
63,13.9,11.9,0.9,high,0.9908
64,13.4,11.3,12.5,medium,0.9942
65,13.8,5.6,7.3,high,0.9905
66,11.1,14.6,3.8,low,0.9969
67,8.0,13.9,9.7,low,1.0012
68,13.5,13.2,14.7,high,0.9935
69,,9.5,6.6,medium,0.9916
70,8.6,6.0,10.8,low,1.0017
71,11.4,5.3,8.6,low,0.9984
72,12.6,4.9,14.0,medium,0.993
73,11.0,4.9,13.3,high,0.9979
74,12.4,14.3,1.1,high,1.0029
75,13.9,12.7,13.9,low,1.0024
76,8.0,10.0,9.4,low,0.999
77,11.2,4.7,7.1,high,0.9947
78,10.4,12.1,2.8,high,0.9972
79,9.6,9.9,2.1,medium,1.0028
80,8.1,9.7,4.9,low,1.0007
81,8.3,8.0,14.0,high,0.9958
82,13.9,14.7,3.9,medium,0.9938
83,12.5,13.3,14.0,medium,0.998
84,12.5,10.7,3.9,low,1.0011
85,12.4,4.7,11.9,medium,0.9912
86,11.7,7.5,8.2,high,1.001
87,8.7,12.3,12.6,medium,0.9933
88,13.7,7.5,9.8,medium,0.9918
89,13.8,7.0,2.0,low,1.0049
90,12.3,12.3,11.1,medium,1.0017
91,9.2,5.5,7.2,medium,0.9944
92,10.3,7.5,7.2,high,0.9922
93,12.0,11.9,6.9,high,1.0029
94,11.9,9.5,8.2,medium,1.0022
95,11.9,14.2,1.4,low,1.0011
96,8.9,5.6,13.6,low,1.0027
97,12.4,12.7,12.4,low,0.9925
98,8.7,4.9,4.8,high,1.0043
99,9.8,13.7,7.9,medium,0.9902
100,8.6,4.4,8.3,medium,0.9911
101,14.0,9.4,9.7,low,0.9906
102,11.3,11.5,14.2,low,0.9929
103,12.5,13.8,8.6,medium,0.9999
104,11.4,8.0,1.1,high,1.0035
105,11.1,9.1,4.0,low,1.0011
106,8.0,9.9,14.3,medium,0.994
107,9.2,15.5,13.0,medium,0.9912
108,13.0,6.1,4.0,high,0.9989
109,11.5,9.9,3.4,medium,0.9996
110,12.6,8.2,0.5,high,0.9977
111,11.8,12.9,9.6,low,1.0018
112,12.2,13.2,3.8,high,0.9906
113,10.2,8.6,2.4,medium,1.0044
114,9.8,15.6,13.4,medium,0.994
115,11.2,15.1,2.0,high,1.0035
116,9.7,9.3,5.5,low,1.0003
117,12.4,5.1,12.1,medium,1.0004
118,8.5,13.4,1.8,low,0.9987
119,12.6,15.7,5.4,high,0.9957
120,13.5,11.3,0.6,medium,0.993
121,12.0,6.0,2.8,medium,0.9974
122,13.8,6.5,5.9,low,0.9922
123,9.4,7.8,11.4,low,0.9967
124,10.8,11.6,10.2,medium,0.999
125,8.4,4.3,7.5,medium,1.0017
126,11.1,12.7,8.6,high,1.0046
127,11.2,8.6,9.0,medium,1.0008
128,11.7,9.4,6.3,high,0.9902
129,10.2,10.2,4.1,high,0.9958
130,13.8,6.4,10.4,high,1.0011
131,10.7,14.1,2.1,high,1.0002
132,13.7,9.7,13.8,low,0.9914
133,12.9,11.1,11.9,low,0.9941
134,11.4,11.8,8.8,low,1.0014
135,12.8,8.9,11.4,high,1.0014
136,12.1,4.8,8.9,medium,0.9961
137,13.2,13.3,11.2,low,0.9959
138,12.8,4.8,6.6,high,0.9947
139,13.7,13.7,1.7,high,1.0013
140,12.5,9.3,5.0,medium,1.0004
141,11.5,10.4,12.7,high,1.001
142,,15.5,13.1,medium,1.0001
143,,10.8,9.3,medium,0.9909
144,9.8,10.8,7.0,low,1.0
145,12.2,5.4,6.8,high,1.0014
146,11.4,15.8,6.8,high,0.9997
147,11.7,15.6,3.7,low,0.9998
148,8.5,7.6,10.6,high,0.991
149,13.5,12.7,7.9,medium,0.9922
